Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKR4HC7Y22V5A0GJXGH557ET,osram-led-headlight-for-car-hb3-9005-12v-80w-cool-white-6000k-high-brightness-led-bulbs,OSRAM LED Headlight for Car | HB3 / 9005 | 12V 80W | Cool White 6000K | High-Brightness LED Bulbs,published,https://nhone.in/cdn/shop/files/Untitleddesign_2_0661dddb-b6db-4bde-8c43-912cb5618dfe.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGBXZZ35R4X0YJ5B1Q2
prod_01KKR4HC7Y5T5DTZQY6JXJ9J2P,osram-led-headlight-for-car-9012-hir2-12v-80w-cool-white-6000k-high-brightness-led-bulbs,OSRAM LED Headlight for Car | 9012 / HIR2 | 12V 80W | Cool White 6000K | High-Brightness LED Bulbs,published,https://nhone.in/cdn/shop/files/Untitleddesign_2_2336e07d-417f-41aa-8495-f527ce035a5a.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGB9NQ22AB2Y35BH356
prod_01KKR4HC7Y8VQBYVXHM57SXJ4M,osram-led-headlight-for-car-h4-h19-12v-80w-cool-white-6000k-high-brightness-led-bulbs,OSRAM LED Headlight for Car | H4 / H19 | 12V 80W | Cool White 6000K | High-Brightness LED Bulbs,published,https://nhone.in/cdn/shop/files/Untitleddesign_2_50c0eca8-28be-4558-b210-de674bc9e2ec.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGBF58SBXD92NWHBQGD
prod_01KKR4HC7YB9EEKGWYC5F55C2F,osram-led-headlight-for-car-h8-h11-h16-12v-80w-cool-white-6000k-high-brightness-led-bulb,OSRAM LED Headlight for Car | H8 / H11 / H16 | 12V 80W | Cool White 6000K | High-Brightness LED Bulb,published,https://nhone.in/cdn/shop/files/Untitleddesign_2_fe8abfd2-31a1-4a2e-945a-49c17afe68a0.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGBG1F5GQCFGBTZ3GKP
prod_01KKR4HC7YS3EYTZA48072K0D0,osram-led-headlight-for-car-h7-h18-12v-80w-cool-white-6000k-high-brightness-led-bulbs,OSRAM LED Headlight for Car | H7 / H18 | 12V 80W | Cool White 6000K | High-Brightness LED Bulbs,published,https://nhone.in/cdn/shop/files/Untitleddesign_2_1a0f6e58-5187-47bb-a7b2-6a15d57811b5.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGCYQNY6573C9M3EGV3
prod_01KKR4HC7YWE1Q9W8SMXR3E7DG,osram-led-headlight-for-car-h1-12v-80w-cool-white-6000k-high-brightness-led-bulbs,OSRAM LED Headlight for Car | H1 | 12V 80W | Cool White 6000K | High-Brightness LED Bulbs,published,https://nhone.in/cdn/shop/files/Untitleddesign_2_16ec45e6-68f2-48fb-8ca9-a95dcf139ce5.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGBERFR9R1N20FHC1K7
prod_01KKR4HC7Z8XFE0KY7STCJ4XS0,mytvs-200w-led-car-headlight-bulbs-h27-20000-lumens-6000k-cool-white-plug-play-2-year-warranty,myTVS 200W LED Car Headlight Bulbs | H27 | 20000 Lumens | 6000K Cool White | Plug & Play | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_6994637f-57b0-45d9-aca3-49d617ac3ebf.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGDB34JNW933ZFKB6QP
prod_01KKR4HC7Z9WFDY3SXMFW5PNE8,mytvs-200w-led-car-headlight-bulbs-h8-h16-20000-lumens-6000k-cool-white-plug-play-2-year-warranty,myTVS 200W LED Car Headlight Bulbs | H8 / H16 | 20000 Lumens | 6000K Cool White | Plug & Play | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_6994637f-57b0-45d9-aca3-49d617ac3ebf.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGDTQPK0JZAZPDJDW2V
prod_01KKR4HC7ZBWH5C08APPM0B44Y,mytvs-200w-led-car-headlight-bulbs-hb12-20000-lumens-6000k-cool-white-plug-play-2-year-warranty,myTVS 200W LED Car Headlight Bulbs | HB12 | 20000 Lumens | 6000K Cool White | Plug & Play | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_6994637f-57b0-45d9-aca3-49d617ac3ebf.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGDRQMPC1ZQJDSCW57B
prod_01KKR4HC7ZJ25RV4YHCAC2XYE9,mytvs-200w-led-car-headlight-bulbs-h1-20000-lumens-6000k-cool-white-plug-play-2-year-warranty,myTVS 200W LED Car Headlight Bulbs | H1 | 20000 Lumens | 6000K Cool White | Plug & Play | 2-Year Warranty,published,https://nhone.in/cdn/shop/files/Untitled_design_6994637f-57b0-45d9-aca3-49d617ac3ebf.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCGCSG72YCATFZ3VX0PS
