title,price,original_price,image_path,category,sku
"ALPINE DM-65 6.5 INCH 2-WAY COAXIAL SPEAKER 50W RMS 200W PEAK",7799,7799,"/images/products/alpine-dm-65-6-5-inch-2-way-coaxial-speaker-50w-rms-200w-pea.jpg","Car Speakers","SC-0001"
"ALPINE DM-65C &amp; DM-65 COMPONENTS AND COAXIAL COMBO",17499,17499,"/images/products/alpine-dm-65c-amp-dm-65-components-and-coaxial-combo.jpg","Car Speakers","SC-0002"
"ALPINE DM-65C 6.5 INCH 2-WAY COMPONENT SPEAKER 50W RMS 200W PEAK",10199,10199,"/images/products/alpine-dm-65c-6-5-inch-2-way-component-speaker-50w-rms-200w-.jpg","Car Speakers","SC-0003"
"Alpine SPJ-161C2 6.5&quot; Coaxial Speakers (50W RMS 250W Peak)",3200,3200,"/images/products/alpine-spj-161c2-6-5-quot-coaxial-speakers-50w-rms-250w-peak.jpg","Car Speakers","SC-0004"
"Alpine SPJ-161CS 6.5&quot; Component Speakers (50W RMS 250W Peak)",4899,4899,"/images/products/alpine-spj-161cs-6-5-quot-component-speakers-50w-rms-250w-pe.jpg","Car Speakers","SC-0005"
"Alto K10 android stereo - 4/64 GB With Android Frame",6800,6800,"/images/products/alto-k10-android-stereo-4-64-gb-with-android-frame.jpg","Car Stereos","SC-0006"
"Android box to convert OEM Stereo to Android - Conpex Ai box 4/64GB android box",11200,11200,"/images/products/android-box-to-convert-oem-stereo-to-android-conpex-ai-box-4.jpg","Car Stereos","SC-0007"
"Android box to convert OEM Stereo to Android - Glider Ai box 4/64GB Octacore processor",12200,12200,"/images/products/android-box-to-convert-oem-stereo-to-android-glider-ai-box-4.jpg","Car Stereos","SC-0008"
"Android box to convert OEM Stereo to Android - Unplug Ai box 4/64GB Octacore processor | Unplug UNP-P400 Picasou Android Box",14200,14200,"/images/products/android-box-to-convert-oem-stereo-to-android-unplug-ai-box-4.jpg","Car Stereos","SC-0009"
"Android box to convert OEM Stereo to Android - Unplug Ai box 4/64GB Octacore processor | Yuemi P8 Picasou Android Box",15900,15900,"/images/products/android-box-to-convert-oem-stereo-to-android-unplug-ai-box-4.jpg","Car Stereos","SC-0010"
"Baleno 2022 Onwards Screen Activator Video In Motion",1100,1100,"/images/products/baleno-2022-onwards-screen-activator-video-in-motion.jpg","Accessories","SC-0011"
"Baleno 9 inches Android Frame with Coupler",899,899,"/images/products/baleno-9-inches-android-frame-with-coupler.jpg","Car Stereos","SC-0012"
"Baleno Auto folding mirrors / ORVM for base model With wiring and switch MSGA ORIGNAL",12900,12900,"/images/products/baleno-auto-folding-mirrors-orvm-for-base-model-with-wiring-.jpg","Exterior","SC-0013"
"Baleno base model to top model conversion kit",18625,18625,"/images/products/baleno-base-model-to-top-model-conversion-kit.jpg","Car Accessories","SC-0014"
"Baleno Camera Activator - To turn on Aftermarket Camera in Orignal Stereo",950,950,"/images/products/baleno-camera-activator-to-turn-on-aftermarket-camera-in-ori.jpg","Car Stereos","SC-0015"
"Baleno Camera Activator - To turn on orignal camera in Android Stereo",850,850,"/images/products/baleno-camera-activator-to-turn-on-orignal-camera-in-android.jpg","Car Stereos","SC-0016"
"Baleno Height adjustment seat",9199,9199,"/images/products/baleno-height-adjustment-seat.jpg","Interior","SC-0017"
"Baleno Orignal MSGA armrest",4600,4600,"/images/products/baleno-orignal-msga-armrest.jpg","Interior","SC-0018"
"Baleno Top Model Steering - Leather Upholstery wrapped with all controls",6900,6900,"/images/products/baleno-top-model-steering-leather-upholstery-wrapped-with-al.jpg","Interior","SC-0019"
"Batman Car Perfume Spray (50ml) - DC Comics OFFICIAL MERCHANDISE",1025,1025,"/images/products/batman-car-perfume-spray-50ml-dc-comics-official-merchandise.jpg","Car Perfumes","SC-0020"
